,brand,type,img_name
0,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-25-16`22`21"
1,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-09-12`56`53
2,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-02-15`26`54"
3,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-24-12`09`20"
4,Webmail Providers,no_logo,Webmail Providers+2020-05-10-17`12`41
5,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-27-17`11`45"
6,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-16-12`27`30"
7,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-23-12`29`42"
8,Webmail Providers,no_logo,Webmail Providers+2020-05-27-10`18`39
9,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-18-10`21`47"
10,WeTransfer,unrecognize,WeTransfer+2020-05-29-12`27`06
11,WeTransfer,unrecognize,WeTransfer+2020-05-13-13`05`59
12,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-29-14`40`09"
13,NetEase,unrecognize,NetEase+2020-05-23-20`04`44
14,Webmail Providers,no_logo,Webmail Providers+2020-05-24-17`19`27
15,Webmail Providers,no_logo,Webmail Providers+2020-05-02-05`01`38
16,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-30-09`08`38"
17,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-14-10`17`55"
18,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-21-11`38`14"
19,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-11-18`19`48
20,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-29-14`37`56
21,RBC Royal Bank,unrecognize,RBC Royal Bank+2020-05-09-14`29`59
22,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-27-10`46`08"
23,Webmail Providers,unrecognize,Webmail Providers+2020-05-13-14`19`26
24,Webmail Providers,no_logo,Webmail Providers+2020-05-11-14`52`30
25,WeTransfer,unrecognize,WeTransfer+2020-05-14-11`10`44
26,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-05-13`00`02"
27,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-25-18`26`36"
28,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-08-02`29`59"
29,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-17-09`27`40"
30,Office365,unrecognize,Office365+2020-05-24-12`56`45
31,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-24-18`54`47"
32,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-27-13`58`57"
33,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-29-14`20`25"
34,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-07-22`34`27
35,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-01-13`21`53
36,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-22-22`44`20"
37,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-06-15`28`51
38,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-18-15`46`06"
39,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-19-07`19`17"
40,WeTransfer,unrecognize,WeTransfer+2020-05-17-09`38`30
41,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-26-13`33`12"
42,ICICI Bank Limited,unrecognize,ICICI Bank Limited+2020-05-26-12`08`34
43,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-27-10`44`05"
44,Webmail Providers,no_logo,Webmail Providers+2020-05-02-15`30`28
45,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-23-16`02`28"
46,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-12-12`01`19"
47,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-22-11`10`45"
48,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-30-14`30`45"
49,Webmail Providers,no_logo,Webmail Providers+2020-05-29-14`29`50
50,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-30-10`16`44"
51,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-23-14`47`33"
52,Chase Personal Banking,unrecognize,Chase Personal Banking+2020-05-08-02`20`46
53,Banco do Brasil S.A.,unrecognize,Banco do Brasil S.A.+2020-05-01-18`34`29
54,Webmail Providers,no_logo,Webmail Providers+2020-05-27-12`43`29
55,Webmail Providers,no_logo,Webmail Providers+2020-05-27-16`31`40
56,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-25-02`17`57"
57,Landesbank Berlin AG,unrecognize,Landesbank Berlin AG+2020-05-01-21`38`43
58,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-27-10`53`30"
59,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-25-02`57`29"
60,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-23-11`51`22"
61,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-26-11`52`02"
62,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-19-06`15`26"
63,Chase Personal Banking,unrecognize,Chase Personal Banking+2020-05-01-16`44`37
64,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-27-17`22`23"
65,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-27-10`30`37"
66,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-13-15`04`05"
67,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-24-17`39`12"
68,Banco do Brasil S.A.,unrecognize,Banco do Brasil S.A.+2020-05-23-16`22`58
69,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-31-09`48`07"
70,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-19-06`05`25"
71,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-26-11`08`04"
72,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-29-14`53`24"
73,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-25-18`01`09"
74,Webmail Providers,no_logo,Webmail Providers+2020-05-27-12`50`52
75,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-24-12`55`54"
76,Adobe Inc.,unrecognize,Adobe Inc.+2020-05-13-13`49`36
77,Itau Unibanco S.A,unrecognize,Itau Unibanco S.A+2020-05-02-08`02`51
78,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-21-11`36`21"
79,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-23-20`13`44"
80,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-08-11`09`14"
81,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-09-14`23`11"
82,Banco do Brasil S.A.,unrecognize,Banco do Brasil S.A.+2020-05-21-11`57`35
83,Webmail Providers,unrecognize,Webmail Providers+2020-05-11-15`32`44
84,"Americanas.com S,A Comercio Electrnico",undetected,"Americanas.com S,A Comercio Electrnico+2020-05-25-14`03`17"
85,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-18-11`44`03"
86,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-24-06`30`41"
87,Chase Personal Banking,unrecognize,Chase Personal Banking+2020-05-09-10`49`41
88,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-29-12`29`44"
89,Webmail Providers,no_logo,Webmail Providers+2020-05-01-12`37`33
90,Webmail Providers,unrecognize,Webmail Providers+2020-05-09-14`22`53
91,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-24-02`17`20"
92,Banco do Brasil S.A.,unrecognize,Banco do Brasil S.A.+2020-05-02-17`55`16
93,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-06-12`54`43"
94,Banco do Brasil S.A.,unrecognize,Banco do Brasil S.A.+2020-05-02-15`45`28
95,"DHL Airways, Inc.",undetected,"DHL Airways, Inc.+2020-05-02-17`36`44"
96,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-24-05`59`09"
97,WeTransfer,unrecognize,WeTransfer+2020-05-23-20`37`05
98,"Facebook, Inc.",undetected,"Facebook, Inc.+2020-05-30-09`35`58"
99,"Dropbox, Inc.",undetected,"Dropbox, Inc.+2020-05-02-04`54`46"
100,WeTransfer,unrecognize,WeTransfer+2020-05-27-17`16`37
